,mid,f1,money
55,100615.0,-2.7453666246711563,0.0
56,100640.0,-5.694633962840264,-100640.0
57,100670.0,-12.10761436720384,-100670.0
58,100650.0,-12.981685206543414,-100650.0
59,100655.0,-13.967014790085567,-100655.0
60,100635.0,-11.268011216066597,-100635.0
61,100645.0,-10.774223035676307,-100645.0
62,100655.0,-11.659987846524821,-100655.0
63,100655.0,-11.86523112717635,-100655.0
64,100655.0,-11.60139590452515,-100655.0
65,100650.0,-10.294643980121338,-100650.0
66,100645.0,-8.378575987696193,-100645.0
67,100660.0,-9.093571271608843,-100660.0
68,100640.0,-6.265117413383717,-100640.0
69,100635.0,-3.5527200510065384,0.0
70,100635.0,-1.784283286640365,0.0
71,100650.0,-2.896745372664208,0.0
72,100650.0,-3.5474535434758137,0.0
73,100645.0,-3.131343571469407,0.0
74,100655.0,-4.2591917613599195,0.0
75,100655.0,-4.815992553743344,0.0
76,100645.0,-3.506664999448229,0.0
77,100645.0,-2.555808633567927,0.0
78,100635.0,-0.40940723948737023,0.0
79,100645.0,-0.5606796291792522,0.0
80,100625.0,2.254205064580467,0.0
81,100635.0,2.3716760866045306,0.0
82,100625.0,3.7172277703404664,0.0
83,100635.0,2.818227814483121,0.0
84,100640.0,1.2874891094681304,0.0
85,100630.0,1.6390150223534414,0.0
86,100650.0,-1.2496264385898002,0.0
87,100645.0,-2.3437359712003616,0.0
88,100660.0,-5.178205674143129,-100660.0
89,100675.0,-8.934200120272134,-100675.0
90,100655.0,-7.910284926640119,-100655.0
91,100670.0,-9.055410618769717,-100670.0
92,100680.0,-10.739904278842511,-100680.0
93,100685.0,-11.909038282951709,-100685.0
94,100665.0,-8.996786407667148,-100665.0
95,100675.0,-8.05874304960428,-100675.0
96,100660.0,-4.724048138772433,0.0
97,100675.0,-4.4532879631121,0.0
98,100665.0,-2.4416152339698414,0.0
99,100655.0,0.5571620930505734,0.0
100,100655.0,2.5437805689930304,0.0
101,100665.0,2.3159380147793946,0.0
102,100650.0,4.370292422665199,0.0
103,100650.0,5.532517634188273,100650.0
104,100655.0,5.325125764785892,100655.0
105,100640.0,7.187384754887519,100640.0
106,100645.0,7.294766526996025,100645.0
107,100625.0,9.940645538605171,100625.0
108,100630.0,10.342589813381965,100630.0
109,100630.0,10.022089592751602,100630.0
110,100625.0,9.972474228468954,100625.0
111,100615.0,10.801277625669957,100615.0
112,100605.0,12.10626207922664,100605.0
113,100605.0,12.140793325957846,100605.0
114,100620.0,9.147515064545516,100620.0
115,100625.0,5.861998318090846,100625.0
116,100640.0,1.0920420676385447,0.0
117,100635.0,-1.4197370993631377,0.0
118,100655.0,-6.039101756169037,-100655.0
119,100645.0,-7.314636805454484,-100645.0
120,100635.0,-6.406539375788446,-100635.0
121,100635.0,-5.628399645225036,-100635.0
122,100655.0,-7.889566658186151,-100655.0
123,100655.0,-8.97956752433203,-100655.0
124,100665.0,-10.71773349061487,-100665.0
125,100665.0,-11.273214630648864,-100665.0
126,100675.0,-12.492726812308073,-100675.0
127,100675.0,-12.563088336941222,-100675.0
128,100675.0,-11.876341509055388,-100675.0
129,100665.0,-9.25602656145879,-100665.0
130,100645.0,-4.0778167773293585,0.0
131,100615.0,3.895862975884376,0.0
132,100605.0,10.244310837191152,100605.0
133,100625.0,10.805159256352312,100625.0
134,100625.0,10.61179689783654,100625.0
135,100625.0,9.928306859922847,100625.0
136,100605.0,11.879094459832537,100605.0
137,100615.0,10.946137242790757,100615.0
138,100605.0,11.159071429322815,100605.0
139,100605.0,10.583203735145492,100605.0
140,100625.0,6.5861040510403654,100625.0
141,100625.0,3.57718223663327,0.0
142,100635.0,-0.12317870779585682,0.0
143,100635.0,-2.589024959906938,0.0
144,100650.0,-6.33784386557228,-100650.0
145,100645.0,-7.738265338690232,-100645.0
146,100670.0,-11.966222337939973,-100670.0
147,100660.0,-12.574292423448243,-100660.0
148,100665.0,-13.046057108322833,-100665.0
149,100675.0,-14.104525648090037,-100675.0
150,100675.0,-13.969908908245298,-100675.0
151,100685.0,-14.5233123026334,-100685.0
152,100695.0,-15.438760724466347,-100695.0
